# Frozen Runtime Coverage Tripwire Restoration Batch 1 inventory v1
# Columns: inventory, classification, path, detail, authorizing_batch, focused_test
# Every row is path-level governing truth; counts are derived diagnostics only.
inventory	classification	path	detail	authorizing_batch	focused_test
RUNTIME_CANDIDATE	APPROVED_POST_BATCH12_SUCCESSOR	src/Imperium/Runtime/Clavium/ProviderBindingSuccessorAtomicLiveTransitionAuthorityDurableCustodyBoundaryContract.php	Mechanically detected post-Batch-12 authority candidate	FROZEN_RUNTIME_COVERAGE_TRIPWIRE_RESTORATION_BATCH_1	TransactionalAuthorityConsumptionBatch12CoverageTest::testMechanicalRuntimeCoverageMatchesTheFrozenBatch12Snapshot
RUNTIME_CANDIDATE	APPROVED_POST_BATCH12_SUCCESSOR	src/Imperium/Runtime/Clavium/ProviderBindingSuccessorCreationAuthorityDurableCustodyBoundaryContract.php	Mechanically detected post-Batch-12 authority candidate	FROZEN_RUNTIME_COVERAGE_TRIPWIRE_RESTORATION_BATCH_1	TransactionalAuthorityConsumptionBatch12CoverageTest::testMechanicalRuntimeCoverageMatchesTheFrozenBatch12Snapshot
RUNTIME_CANDIDATE	APPROVED_POST_BATCH12_SUCCESSOR	src/Imperium/Runtime/Clavium/ProviderBindingSuccessorLiveAdoptionAuthorityDurableCustodyBoundaryContract.php	Mechanically detected post-Batch-12 authority candidate	FROZEN_RUNTIME_COVERAGE_TRIPWIRE_RESTORATION_BATCH_1	TransactionalAuthorityConsumptionBatch12CoverageTest::testMechanicalRuntimeCoverageMatchesTheFrozenBatch12Snapshot
RUNTIME_CANDIDATE	APPROVED_POST_BATCH12_SUCCESSOR	src/Imperium/Runtime/Evidence/ActivationCorridorDispositionInterruptionDemonstration.php	Mechanically detected post-Batch-12 authority candidate	FROZEN_RUNTIME_COVERAGE_TRIPWIRE_RESTORATION_BATCH_1	TransactionalAuthorityConsumptionBatch12CoverageTest::testMechanicalRuntimeCoverageMatchesTheFrozenBatch12Snapshot
RUNTIME_CANDIDATE	APPROVED_POST_BATCH12_SUCCESSOR	src/Imperium/Runtime/Evidence/ActivationTransitionInterruptionDemonstration.php	Mechanically detected post-Batch-12 authority candidate	FROZEN_RUNTIME_COVERAGE_TRIPWIRE_RESTORATION_BATCH_1	TransactionalAuthorityConsumptionBatch12CoverageTest::testMechanicalRuntimeCoverageMatchesTheFrozenBatch12Snapshot
RUNTIME_CANDIDATE	APPROVED_POST_BATCH12_SUCCESSOR	src/Imperium/Runtime/Evidence/ImperatorPrincipalProvenanceInterruptionDemonstration.php	Mechanically detected post-Batch-12 authority candidate	FROZEN_RUNTIME_COVERAGE_TRIPWIRE_RESTORATION_BATCH_1	TransactionalAuthorityConsumptionBatch12CoverageTest::testMechanicalRuntimeCoverageMatchesTheFrozenBatch12Snapshot
RUNTIME_CANDIDATE	APPROVED_POST_BATCH12_SUCCESSOR	src/Imperium/Runtime/Imperator/ActivationCorridorDispositionCallerAuthorityContract.php	Mechanically detected post-Batch-12 authority candidate	FROZEN_RUNTIME_COVERAGE_TRIPWIRE_RESTORATION_BATCH_1	TransactionalAuthorityConsumptionBatch12CoverageTest::testMechanicalRuntimeCoverageMatchesTheFrozenBatch12Snapshot
RUNTIME_CANDIDATE	APPROVED_POST_BATCH12_SUCCESSOR	src/Imperium/Runtime/Imperator/ActivationCorridorDispositionCallerAuthorityIssuanceAuthorizationContract.php	Mechanically detected post-Batch-12 authority candidate	FROZEN_RUNTIME_COVERAGE_TRIPWIRE_RESTORATION_BATCH_1	TransactionalAuthorityConsumptionBatch12CoverageTest::testMechanicalRuntimeCoverageMatchesTheFrozenBatch12Snapshot
RUNTIME_CANDIDATE	APPROVED_POST_BATCH12_SUCCESSOR	src/Imperium/Runtime/Imperator/ActivationCorridorDispositionContractValidator.php	Mechanically detected post-Batch-12 authority candidate	FROZEN_RUNTIME_COVERAGE_TRIPWIRE_RESTORATION_BATCH_1	TransactionalAuthorityConsumptionBatch12CoverageTest::testMechanicalRuntimeCoverageMatchesTheFrozenBatch12Snapshot
RUNTIME_CANDIDATE	APPROVED_POST_BATCH12_SUCCESSOR	src/Imperium/Runtime/Imperator/ActivationCorridorDispositionReadOnlyReconstructionService.php	Mechanically detected post-Batch-12 authority candidate	FROZEN_RUNTIME_COVERAGE_TRIPWIRE_RESTORATION_BATCH_1	TransactionalAuthorityConsumptionBatch12CoverageTest::testMechanicalRuntimeCoverageMatchesTheFrozenBatch12Snapshot
RUNTIME_CANDIDATE	APPROVED_POST_BATCH12_SUCCESSOR	src/Imperium/Runtime/Imperator/ActivationCorridorDispositionReconstructionResultContract.php	Mechanically detected post-Batch-12 authority candidate	FROZEN_RUNTIME_COVERAGE_TRIPWIRE_RESTORATION_BATCH_1	TransactionalAuthorityConsumptionBatch12CoverageTest::testMechanicalRuntimeCoverageMatchesTheFrozenBatch12Snapshot
RUNTIME_CANDIDATE	APPROVED_POST_BATCH12_SUCCESSOR	src/Imperium/Runtime/Imperator/ActivationCorridorDispositionTerminalAudit.php	Mechanically detected post-Batch-12 authority candidate	FROZEN_RUNTIME_COVERAGE_TRIPWIRE_RESTORATION_BATCH_1	TransactionalAuthorityConsumptionBatch12CoverageTest::testMechanicalRuntimeCoverageMatchesTheFrozenBatch12Snapshot
RUNTIME_CANDIDATE	APPROVED_POST_BATCH12_SUCCESSOR	src/Imperium/Runtime/Imperator/CorridorDispositionPrincipalAuthorityRemediationAggregateResultContract.php	Mechanically detected post-Batch-12 authority candidate	FROZEN_RUNTIME_COVERAGE_TRIPWIRE_RESTORATION_BATCH_1	TransactionalAuthorityConsumptionBatch12CoverageTest::testMechanicalRuntimeCoverageMatchesTheFrozenBatch12Snapshot
RUNTIME_CANDIDATE	APPROVED_POST_BATCH12_SUCCESSOR	src/Imperium/Runtime/Imperator/CorridorDispositionPrincipalAuthorityRemediationContractValidator.php	Mechanically detected post-Batch-12 authority candidate	FROZEN_RUNTIME_COVERAGE_TRIPWIRE_RESTORATION_BATCH_1	TransactionalAuthorityConsumptionBatch12CoverageTest::testMechanicalRuntimeCoverageMatchesTheFrozenBatch12Snapshot
RUNTIME_CANDIDATE	APPROVED_POST_BATCH12_SUCCESSOR	src/Imperium/Runtime/Imperator/CorridorDispositionPrincipalAuthorityRemediationProducer.php	Mechanically detected post-Batch-12 authority candidate	FROZEN_RUNTIME_COVERAGE_TRIPWIRE_RESTORATION_BATCH_1	TransactionalAuthorityConsumptionBatch12CoverageTest::testMechanicalRuntimeCoverageMatchesTheFrozenBatch12Snapshot
RUNTIME_CANDIDATE	APPROVED_POST_BATCH12_SUCCESSOR	src/Imperium/Runtime/Imperator/CorridorDispositionPrincipalAuthorityRemediationReadOnlyAggregateReconstructionService.php	Mechanically detected post-Batch-12 authority candidate	FROZEN_RUNTIME_COVERAGE_TRIPWIRE_RESTORATION_BATCH_1	TransactionalAuthorityConsumptionBatch12CoverageTest::testMechanicalRuntimeCoverageMatchesTheFrozenBatch12Snapshot
RUNTIME_CANDIDATE	APPROVED_POST_BATCH12_SUCCESSOR	src/Imperium/Runtime/Imperator/CorridorDispositionPrincipalAuthorityRemediationTerminalAudit.php	Mechanically detected post-Batch-12 authority candidate	FROZEN_RUNTIME_COVERAGE_TRIPWIRE_RESTORATION_BATCH_1	TransactionalAuthorityConsumptionBatch12CoverageTest::testMechanicalRuntimeCoverageMatchesTheFrozenBatch12Snapshot
