path	line	value
src/Imperium/Runtime/Evidence/ActivationCorridorDispositionInterruptionDemonstration.php	15	QUARANTINED_PENDING_REMEDIATION
src/Imperium/Runtime/Evidence/ActivationCorridorDispositionInterruptionDemonstration.php	15	RETIRE_CORRIDOR
src/Imperium/Runtime/Evidence/ActivationCorridorDispositionInterruptionDemonstration.php	54	QUARANTINED_PENDING_REMEDIATION
src/Imperium/Runtime/Evidence/ActivationCorridorDispositionInterruptionDemonstration.php	54	RETIRE_CORRIDOR
src/Imperium/Runtime/Evidence/ActivationCorridorDispositionInterruptionDemonstration.php	54	QUARANTINED_PENDING_REMEDIATION
src/Imperium/Runtime/Imperator/ActivationCorridorDispositionEligibilityContract.php	25	QUARANTINED_PENDING_REMEDIATION
src/Imperium/Runtime/Imperator/ActivationCorridorDispositionEligibilityContract.php	25	RETIRE_CORRIDOR
src/Imperium/Runtime/Imperator/ActivationCorridorDispositionCallerAuthorityIssuanceAuthorizationContract.php	25	QUARANTINED_PENDING_REMEDIATION
src/Imperium/Runtime/Imperator/ActivationCorridorDispositionCallerAuthorityIssuanceAuthorizationContract.php	25	RETIRE_CORRIDOR
src/Imperium/Runtime/Imperator/ActivationCorridorDispositionContract.php	11	QUARANTINED_PENDING_REMEDIATION
src/Imperium/Runtime/Imperator/ActivationCorridorDispositionContract.php	11	RETIRE_CORRIDOR
src/Imperium/Runtime/Imperator/ActivationCorridorDispositionContractValidator.php	66	QUARANTINED_PENDING_REMEDIATION
src/Imperium/Runtime/Imperator/ActivationCorridorDispositionContractValidator.php	80	QUARANTINED_PENDING_REMEDIATION
src/Imperium/Runtime/Imperator/ActivationCorridorDispositionContractValidator.php	83	RETIRE_CORRIDOR
src/Imperium/Runtime/LaCortine/StrandedActivationArtifactDispositionContract.php	14	QUARANTINED_PENDING_REMEDIATION
src/Imperium/Runtime/LaCortine/StrandedActivationArtifactDispositionContract.php	14	RETIRE_CORRIDOR
